Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,reading and writing skills,memory capability score,interested career area ,Type of company want to settle in?,Management or Technical,hard/smart worker,Suggested Job Role
excellent,3,medium,excellent,no,excellent,excellent,developer,Cloud Services,Technical,hard worker,Mobile Applications Developer
medium,4,poor,poor,yes,excellent,medium,security,SAaS services,Management,smart worker,Software Developer
excellent,0,medium,poor,no,poor,medium,testing,Cloud Services,Technical,smart worker,Mobile Applications Developer
poor,2,excellent,poor,yes,excellent,poor,Business process analyst,Product based,Technical,smart worker,Network Security Engineer
medium,5,medium,poor,no,excellent,poor,cloud computing,Sales and Marketing,Management,smart worker,Software Developer
medium,2,excellent,excellent,no,excellent,medium,cloud computing,Testing and Maintainance Services,Technical,hard worker,Systems Security Administrator
medium,0,poor,excellent,yes,poor,excellent,testing,Sales and Marketing,Technical,hard worker,Database Developer
excellent,5,medium,poor,no,medium,poor,testing,Finance,Management,hard worker,Systems Security Administrator
poor,4,medium,excellent,yes,medium,medium,system developer,product development,Technical,smart worker,Network Security Engineer
excellent,0,poor,medium,no,medium,excellent,security,Sales and Marketing,Management,smart worker,Systems Security Administrator
excellent,3,excellent,medium,no,poor,excellent,Business process analyst,BPA,Technical,smart worker,Software Quality Assurance (QA) / Testing
medium,3,excellent,excellent,no,poor,medium,Business process analyst,BPA,Management,smart worker,Software Engineer
excellent,4,excellent,medium,yes,poor,excellent,developer,Web Services,Management,hard worker,Applications Developer
medium,5,medium,excellent,no,medium,excellent,Business process analyst,Product based,Technical,smart worker,Applications Developer
medium,3,medium,excellent,yes,excellent,excellent,developer,Product based,Technical,hard worker,Software Engineer
poor,0,poor,medium,no,excellent,excellent,security,product development,Technical,hard worker,Mobile Applications Developer
medium,3,poor,poor,no,medium,medium,Business process analyst,product development,Technical,smart worker,UX Designer
excellent,3,poor,medium,no,medium,excellent,developer,Finance,Technical,smart worker,Systems Security Administrator
medium,3,medium,excellent,no,poor,poor,Business process analyst,Cloud Services,Management,hard worker,CRM Technical Developer
excellent,2,medium,excellent,yes,excellent,excellent,system developer,Sales and Marketing,Management,hard worker,Software Developer
poor,5,poor,poor,yes,poor,medium,cloud computing,Cloud Services,Management,hard worker,CRM Technical Developer
excellent,4,excellent,poor,no,poor,poor,testing,Service Based,Management,smart worker,Database Developer
poor,6,medium,poor,yes,medium,excellent,Business process analyst,Sales and Marketing,Management,hard worker,Network Security Engineer
medium,5,excellent,medium,yes,excellent,medium,system developer,Sales and Marketing,Management,hard worker,UX Designer
excellent,6,excellent,excellent,no,poor,excellent,developer,Cloud Services,Technical,smart worker,Software Quality Assurance (QA) / Testing
excellent,0,medium,medium,no,poor,poor,security,Product based,Technical,smart worker,UX Designer
poor,4,excellent,excellent,yes,excellent,poor,developer,product development,Technical,hard worker,Applications Developer
excellent,1,excellent,medium,yes,medium,poor,developer,Finance,Management,hard worker,Technical Support
excellent,5,medium,poor,no,excellent,poor,cloud computing,Finance,Technical,smart worker,Software Engineer
poor,2,medium,medium,yes,excellent,poor,cloud computing,Cloud Services,Technical,hard worker,Web Developer
poor,0,excellent,medium,no,poor,medium,cloud computing,Finance,Technical,hard worker,Software Developer
excellent,4,medium,medium,yes,medium,excellent,testing,SAaS services,Management,smart worker,Software Engineer
medium,3,medium,excellent,yes,medium,medium,security,Testing and Maintainance Services,Management,smart worker,Web Developer
medium,5,excellent,poor,yes,excellent,medium,developer,product development,Management,hard worker,Web Developer
excellent,4,excellent,excellent,yes,medium,excellent,developer,Testing and Maintainance Services,Technical,smart worker,UX Designer
excellent,4,poor,excellent,no,excellent,poor,system developer,SAaS services,Technical,hard worker,Mobile Applications Developer
excellent,5,medium,excellent,yes,poor,medium,cloud computing,Testing and Maintainance Services,Management,smart worker,Applications Developer
poor,5,medium,excellent,no,poor,medium,Business process analyst,Web Services,Technical,hard worker,Systems Security Administrator
medium,5,excellent,medium,no,poor,poor,system developer,Product based,Management,hard worker,Systems Security Administrator
poor,1,medium,excellent,yes,poor,poor,security,Cloud Services,Management,smart worker,Database Developer
medium,4,poor,excellent,yes,medium,excellent,cloud computing,BPA,Technical,hard worker,Technical Support
medium,4,excellent,poor,no,medium,excellent,system developer,Cloud Services,Technical,smart worker,Web Developer
excellent,1,poor,excellent,yes,medium,excellent,security,Web Services,Technical,hard worker,Software Developer
poor,1,medium,poor,no,poor,poor,Business process analyst,Service Based,Management,smart worker,Network Security Engineer
medium,2,medium,excellent,yes,poor,excellent,testing,product development,Technical,hard worker,Mobile Applications Developer
medium,1,poor,poor,yes,excellent,poor,Business process analyst,Testing and Maintainance Services,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,4,excellent,medium,yes,poor,poor,security,Cloud Services,Management,hard worker,Mobile Applications Developer
medium,2,excellent,poor,yes,medium,medium,cloud computing,Sales and Marketing,Management,hard worker,Applications Developer
poor,2,poor,poor,no,excellent,excellent,system developer,Service Based,Management,smart worker,UX Designer
medium,5,poor,excellent,no,poor,medium,security,Cloud Services,Management,hard worker,Software Quality Assurance (QA) / Testing
poor,2,poor,excellent,no,excellent,medium,cloud computing,product development,Technical,hard worker,Software Developer
medium,4,excellent,poor,no,excellent,poor,cloud computing,Product based,Management,hard worker,Software Developer
medium,5,excellent,excellent,no,poor,poor,system developer,BPA,Technical,hard worker,Web Developer
excellent,1,medium,excellent,no,excellent,medium,cloud computing,Service Based,Management,hard worker,CRM Technical Developer
excellent,6,poor,excellent,no,excellent,poor,testing,Testing and Maintainance Services,Technical,hard worker,Applications Developer
poor,6,medium,poor,no,poor,excellent,cloud computing,Product based,Technical,smart worker,CRM Technical Developer
medium,2,poor,excellent,yes,excellent,medium,developer,Finance,Technical,hard worker,Software Developer
medium,4,poor,poor,yes,medium,medium,cloud computing,Cloud Services,Management,hard worker,Technical Support
medium,5,medium,excellent,no,excellent,medium,security,Product based,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,6,poor,medium,no,excellent,excellent,system developer,product development,Management,smart worker,Software Quality Assurance (QA) / Testing
poor,0,medium,poor,no,medium,poor,Business process analyst,product development,Management,smart worker,UX Designer
medium,3,medium,medium,yes,excellent,excellent,testing,Web Services,Technical,smart worker,Software Developer
excellent,1,medium,medium,no,medium,medium,developer,product development,Technical,smart worker,CRM Technical Developer
poor,5,poor,medium,no,medium,poor,system developer,Service Based,Management,hard worker,CRM Technical Developer
poor,0,excellent,medium,no,excellent,medium,system developer,SAaS services,Management,smart worker,Network Security Engineer
excellent,0,medium,medium,yes,poor,poor,security,SAaS services,Management,hard worker,Web Developer
poor,1,excellent,medium,no,medium,medium,testing,Product based,Technical,hard worker,Applications Developer
excellent,4,medium,poor,no,excellent,excellent,security,product development,Technical,hard worker,Web Developer
excellent,4,excellent,medium,yes,medium,poor,system developer,Product based,Management,smart worker,Mobile Applications Developer
excellent,4,medium,medium,yes,medium,medium,security,Service Based,Technical,hard worker,Applications Developer
poor,2,excellent,poor,no,medium,excellent,developer,SAaS services,Management,hard worker,Software Engineer
poor,1,excellent,excellent,yes,excellent,excellent,system developer,Service Based,Technical,hard worker,Software Developer
excellent,5,poor,excellent,no,excellent,poor,developer,Cloud Services,Technical,hard worker,Web Developer
medium,5,excellent,medium,yes,medium,excellent,security,product development,Technical,smart worker,Mobile Applications Developer
medium,1,excellent,excellent,yes,medium,excellent,developer,Cloud Services,Management,hard worker,Technical Support
excellent,2,excellent,poor,yes,poor,poor,cloud computing,Sales and Marketing,Management,hard worker,Software Quality Assurance (QA) / Testing
medium,3,excellent,excellent,no,medium,medium,cloud computing,Testing and Maintainance Services,Technical,hard worker,Systems Security Administrator
medium,4,excellent,medium,no,poor,medium,system developer,Web Services,Management,hard worker,Software Quality Assurance (QA) / Testing
medium,2,poor,excellent,no,medium,poor,security,Web Services,Management,smart worker,Software Quality Assurance (QA) / Testing
excellent,1,poor,poor,no,medium,medium,developer,Sales and Marketing,Management,hard worker,Software Developer
poor,3,poor,excellent,yes,poor,medium,developer,Cloud Services,Management,smart worker,Web Developer
excellent,4,medium,medium,no,excellent,medium,Business process analyst,product development,Management,smart worker,Systems Security Administrator
medium,1,medium,poor,yes,poor,excellent,Business process analyst,Service Based,Management,smart worker,Applications Developer
medium,2,medium,poor,yes,excellent,poor,developer,SAaS services,Technical,smart worker,Software Developer
medium,2,excellent,poor,no,excellent,excellent,system developer,Testing and Maintainance Services,Management,smart worker,Web Developer
poor,0,medium,poor,yes,excellent,excellent,security,SAaS services,Technical,smart worker,Technical Support
medium,4,medium,poor,no,medium,excellent,Business process analyst,Cloud Services,Technical,smart worker,Mobile Applications Developer
medium,4,medium,poor,yes,excellent,poor,Business process analyst,Product based,Technical,smart worker,Software Developer
